Time,V-111,V-112,V-113,V-114
0,0.04956722555,0.00445842769,0.02160072455,0.01168251107
5e-06,-0.01883506887,-0.05321503003,-0.03964901207,-0.08010864735
1e-05,0.0185251247,-0.01163482735,0.00548362765,-0.0178813945
1.5e-05,-0.03807544935,-0.05731582983,-0.06129742034,-0.0898122841
2e-05,0.00259876267,-0.06027222039,-0.05354881606,-0.05025863947
2.5e-05,-0.00176429759,-0.05791187632,-0.07030964317,-0.06806850839
3e-05,0.0536441835,0.00383853935,-0.01943111535,-0.00271797196
3.5e-05,0.0065088276,-0.0235080733,-0.02787113356,-0.03318786819
4e-05,-0.05142689058,-0.05130768128,-0.02195835244,-0.06775856422
4.5e-05,-0.04386902117,-0.04844665816,-0.02067089204,-0.06384849929
5e-05,-0.00338554403,-0.04889965349,-0.02532005461,-0.03843307724
5.5e-05,0.02577304994,-0.04241466775,-0.0122547157,-0.00758171127
6e-05,0.01409053886,-0.05383491837,-0.03168583105,-0.04217624916
6.5e-05,0.00977516233,-0.01904964561,-0.01459121791,-0.02779960798
7e-05,-0.0378131889,-0.02458095697,-0.02686977547,-0.06597042477
7.5e-05,0.00331401845,-0.00548362765,0.00808239031,-0.02629757084
8e-05,0.01199245524,-0.02737045451,0.00214576734,-0.04487037926
8.5e-05,0.03380775653,0.01461505977,0.08337498208,-0.00207424176
9e-05,-7.152558e-05,0.04415512348,0.06492138296,0.00360012076
9.5e-05,-0.00841617634,0.02882480793,0.00412464166,0.01153945992
0.0001,-0.0269651429,-0.02055168274,-0.01287460404,-0.02398491049
0.000105,-0.03316402633,-0.04389286303,-0.00319480915,-0.0272035615
0.00011,-0.06201267612,-0.06825924327,-0.03521442623,-0.07009506643
0.000115,-0.01492500394,-0.02119541295,0.02481937556,-0.03366470538
0.00012,0.04591942107,0.04396438861,0.06096363431,0.03788471448
0.000125,0.04522800715,0.04172325383,0.00526905091,0.04544258389
0.00013,-0.00700950664,0.00643730202,-0.01902580375,0.00646114388
0.000135,0.01235008313,0.01931190606,-0.00896453911,0.00350475332
0.00014,0.01256465987,0.02701282662,-0.02126693852,-0.03871917955
0.000145,0.05102157897,0.06051063898,0.0550508532,0.00321865101
0.00015,0.05376339279,0.04615783967,0.05443096485,-0.0035762789
0.000155,0.05688667636,0.04873276047,0.00865459494,0.04281997936
0.00016,-0.01986026882,0.00784397172,-0.03104210085,0.01537799927
0.000165,0.00591278111,0.02577304994,-0.00455379513,0.02353191516
0.00017,0.00495910674,0.01339912494,-0.03190040779,-0.04467964439
0.000175,0.01745224103,0.0298976916,-0.00052452091,-0.02183914315
0.00018,0.00085830694,0.0392198586,0.02689361733,-0.01189708781
0.000185,0.02250671521,0.05509853691,0.08308887977,0.01871585958
0.00019,0.06339550396,0.06287098306,0.08823872138,0.03402233327
0.000195,0.04539490017,0.03738403543,0.06852150372,0.00846386006
0.0002,0.00290870684,0.00514984162,0.05502701134,-0.01287460404
0.000205,-0.01316070635,0.00953674373,-0.02889633351,-0.02217292918
0.00021,-0.00185966503,0.04041195157,-0.01704692942,0.01637935736
0.000215,0.0112533576,0.04236698403,0.06253719703,0.0283718126
0.00022,0.07994175434,0.07655621031,0.12180805932,0.09381771647
0.000225,0.01935958978,0.0292539614,0.00348091146,0.01876354329
0.00023,-0.05743503913,-0.01006126464,-0.03757477031,-0.04429817464
0.000235,-0.05836487164,-0.0277280824,-0.00054836276,-0.06678104799
0.00024,0.04479885368,0.0144243249,0.06723404331,0.02212524546
0.000245,0.04851818374,0.01480579464,0.04298687237,0.00305175799
0.00025,0.06465912251,0.04611015595,0.06430149462,0.0393390679
0.000255,0.00646114388,0.00312328357,-0.03020763577,-0.00827312519
0.00026,-0.02877712421,-0.0534057649,-0.05686283451,-0.03702640754
0.000265,-0.02670288245,-0.04329681655,-0.04878044419,-0.05338192304
0.00027,0.04897117907,0.04527569087,0.00889301353,0.01096725529
0.000275,0.0685930293,0.03523826809,0.05116463012,0.0022888185
0.00028,0.09584427451,0.02059936646,0.06237030401,0.03430843558
0.000285,0.06742477819,0.03056526366,-0.02174377571,0.01294612962
0.00029,0.02536773833,0.05679130893,-0.05087852781,-0.0255584732
0.000295,0.02429485466,0.05104542083,0.03504753322,-0.01888275259
0.0003,0.01156330178,0.0293731707,0.04742145821,-0.01435279932
0.000305,0.04265308634,0.06794929909,0.00555515322,0.01902580375
0.00031,0.05354881606,0.09429455366,-0.00972747861,-0.00145435342
0.000315,0.05562305782,0.09422302808,0.02393722677,0.02002716184
0.00032,-0.02136230596,0.01769065962,-0.02682209175,-0.05819797863
0.000325,-0.00340938588,0.05722046239,-0.00224113478,-0.02043247345
0.00033,-0.04003048182,0.06625652708,-0.01926422234,-0.03881454699
0.000335,0.02419948722,0.07643700102,0.08745194003,0.02741813823
0.00034,0.01406669701,0.01158714363,0.04510879785,-0.01220703198
0.000345,0.04594326293,0.07884502881,0.00424385096,0.04067421202
0.00035,0.01983642696,0.11680126886,-0.01194477152,0.00164508829
0.000355,0.0378131889,0.08440018203,0.0200510037,0.03504753322
0.00036,0.00674724619,-0.01473426907,-0.0085592275,-0.01192092967
0.000365,0.04012584925,0.02930164512,0.07545948478,0.02915859396
0.00037,0.035762789,0.09012222827,0.05807876933,0.03764629588
0.000375,0.02489090114,0.08301735419,-0.02026558043,0.02799034285
0.00038,-0.00696182292,0.0219821943,-0.04129410036,-0.03554821226
0.000385,0.00865459494,0.02703666848,0.00021457673,-0.01194477152
0.00039,-0.00095367437,0.0214576734,0.01413822258,-0.01313686449
